true,pred_raw,pred_smoothed
-203.03102,-200.02581685726864,-204.9730072128619
-203.6238,-199.56811881647172,-204.00906665626025
-203.62482,-203.9061427244045,-204.00808986952222
-203.53998,-202.55969972124896,-203.75045503021366
-203.26712,-198.7482618548105,-202.80569006266083
-203.70595,-199.64901399858175,-202.17099906418107
-203.24553,-200.86350551521727,-201.86243289291724
-202.919,-201.9928166904534,-201.81707414371138
-203.80664,-199.1616623857393,-201.2441716644264
-202.92859,-200.2702039787226,-200.96991846608552
-203.11897,-203.76427679722067,-201.40465006607042
-202.62988,-205.08162836595477,-202.03067572742913
-203.16234,-202.69199672795187,-202.11423602829444
-202.75552,-204.94090275889863,-202.61498962487178
-203.72853,-206.08442441351698,-203.26112828381713
-203.0787,-206.1517504438762,-203.82552550462816
-203.54001,-200.7577567621694,-203.28109070335327
-202.57657,-201.45592485310414,-202.94751711218635
-202.89323,-202.58209429532602,-202.8763787747725
-201.5758,-199.90106093389065,-202.3064175380001
-202.42769,-200.8874206711918,-202.00810372026055
-201.33495,-202.58005056853852,-202.0768623778967
-201.73297,-204.77210651496614,-202.5540794023097
